_checksum,_id,name,official_name,citizen_names,start_date,end_date
162068cf39f49ed0da993de298c0485d2f2d94c75e21cadd237f3210cac5920b17b3,BRC,Bracknell Forest,Bracknell Forest Council,,1998-04-01,
1620517ca51d67e3c2819010e375af3fe1aec1c787d468ccf956c64d5c114d3c802a,BRD,Bradford,City of Bradford Metropolitan District Council,,1974-04-01,
1620322e442977aacf1ff1669f484610cd92b5afb617b9f0a452a0741f4239135490,BRE,Breckland,Breckland District Council,,,
162000207ddf9d26c811cc03995a839aead73151f0cbc88901e46403b3579fca3336,BRM,Bromsgrove,Bromsgrove District Council,,,
1620921abe97f5f1a6c0b4456933eb3dac2f28b024a77b5f152c5894af86d2db6774,BRO,Broadland,Broadland District Council,,,
162004f71e7a0c3556515d51eb2204b073d74971ebc8f48cce93701cacaa4ac95f54,BRT,Broxtowe,Broxtowe Borough Council,,,
16200f2c8f9064d3862de139487870866b27890b663e1bb36f7ca981b0a7ba42b262,BRW,Brentwood,Brentwood Borough Council,,,
16203ba50a707cfab080d0e641354f58b74969d8c23ea18e02805f3db0434f0aba39,BRX,Broxbourne,Broxbourne Borough Council,,,
16205bc4f2c7e52cfca657feb95b5d7944fdba1287d7531eb2de5c629a4875ff4b20,BRY,Bromley,London Borough of Bromley,,,
1620f7b9e8f813b01bf778c5ac640afa636f15323d96ac245dcbba072d2c7e5e5abe,BST,City of Bristol,Bristol City Council,,1905-06-18,
1620c89e3103d9efb9ead05c63d9d63f5517abc19f640db73df01177368ab4983ebc,BUN,Burnley,Burnley Borough Council,,,
1620d19e437910a6c35d121a1c9e3ce83fd452eac8ea6d0c1252baddbdaf4e64b86f,BUR,Bury,Bury Metropolitan Borough Council,,1974-04-01,
1620d03f52b2eb0d50ac1cf3582b7e7f94ca8586f1a70b1b3a965bf301c01a1c0496,CAB,Cambridge,Cambridge City Council,,,
16202d2bb65abe45498d266843ddbdffadb9114da8eac078722a1ffc4b1673370ed8,CAM,Cambridgeshire,Cambridgeshire County Council,,,
1620a8fe07d8e2e9fee846237c1ff595fa913a2a3c83a202a36dcd7bba7339808725,CAN,Cannock Chase,Cannock Chase District Council,,,
16208e24002aaac40eae176c262017d681be8555bae65a3acf7e679881b8b409336d,CAR,Carlisle,Carlisle City Council,,,
1620eb8dfccfc3553df74bfe02444b1ca3b3363403f5a4843624c7cf8fe9031e07dd,CAS,Castle Point,Castle Point Borough Council,,,
1620ff5856203d0f0cfc8b2e83d7b9476391329c93e0def9951a4a9a2b5e88c79404,CAT,Canterbury,Canterbury City Council,,,
162052baffef25db3f24ddbc5033959e02373413718a29b08e3f7de487c088443630,CBF,Central Bedfordshire,Central Bedfordshire Council,,2009-04-01,
1620c0f07a98f8cc74d2c578931f62096000d928114590b9a83fde108b8e6ebf1fc9,CHA,Charnwood,Charnwood Borough Council,,,
162005057d6f1261dfc1d0bfe329b21bece4239e6c70f6f50ed8db1076ee25865e75,CHC,Christchurch,Christchurch Borough Council,,,2019-03-31
1620c2e352b0363ff1df8a742ff82fa80c59879c8d8c79e7c0783126d3dbacff1bd7,CHE,Cheshire East,Cheshire East Council,,2009-04-01,
16206ea2f74c72665d41d0af5fc8fb56f1ff0f51eb9d2c764c51090c32b40b4357d4,CHI,Chichester,Chichester District Council,,1974-04-01,
162057baeeae8a8b18ee66d332f139d3e07646355894bbfcc72c5f42acf928423684,CHL,Chelmsford,Chelmsford City Council,,,
1620561a684b7c1824abd543a3b1a507ebd9333592e10b9912a3a2d41a060f69e60d,CHN,Chiltern,Chiltern District Council,,,
16208f570b881839e2fe44813b73345ada2742a56d3994e17792bdc4864f92490aa1,CHO,Chorley,Chorley Borough Council,,,
1620d8cb9645ecede4ad730bdb87f4e2bf423cc5dad6bbb4966cc966b6600b46e2e1,CHR,Cherwell,Cherwell District Council,,,
162084a7f28c19658585e50cd4fffd35168151daaee4e09f9dcce91c14a1e9d92bd7,CHS,Chesterfield,Chesterfield Borough Council,,,
1620d68f5fcbcbf46005a1206df559d3eb2cdbd23a31e2b281f18a12a8510b34817e,CHT,Cheltenham,Cheltenham Borough Council,,,
1620aba96146981cdaf9567735d17c97dfd1f02a78f676b754ad38f8dd736c339c87,CHW,Cheshire West and Chester,Cheshire West and Chester Council,,2009-04-01,
16209436c008722c902057325e694cd0286abeaa18bced12ab960ac013e24ae28a4a,CLD,Calderdale,Calderdale Metropolitan Borough Council,,1974-04-01,
16208a366666b43e8901d3e9a187d8124487dffb787311fec0b5a1fba2ecfd902068,CMA,Cumbria,Cumbria County Council,,,
